id	plain_name	bucket	enforcement_or_sketch	evidence
88e9b5eb	'Not authorized' and 'not possible' must never be reported as the same finding	E	Loop-filing check: when blocker=capability and text reads as a bare refusal, require it name the specific action refused and the decider, else refuse the row.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. hooks/blocker-decider-gate.py exists for this rule alone: a capability blocker names its decider or the row does not file.
c0b38d80	Re-bless the gate baseline in the same commit that changes a gate	E	pre-commit hook: if the diff touches any hooks/*-gate.py file or ops/config/rule-enforcement-map.json, require ops/config/gate-baseline.json to be in the SAME diff, else refuse the commit.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. ops/githooks/staged-gate-bless-check.py refuses a commit touching a gate without the baseline in the same diff, called from ops/githooks/pre-commit.
38b15dc6	Multi-clause instructions to a partner are numbered and marked 'all required'	U	Message-shape lint: count imperative clauses in outgoing task text; below a numbered-list format with >1 clause, warn/refuse.	No existing check confirmed this session.
5e89c211	Never spend a cognition token on a decision expressible as a tested predicate	J	Broad architecture-design judgment; the rule's OWN text says it is 'activated as prose guidance... to be re-admitted through the Phase 1 rule-admission contract with executable fixtures' -- i.e. self-declared as pending, not yet enforceable at this scope.	Rule text explicitly defers its own enforcement to a future contract; too broad for a single gate today.
4402973a	Salvage before heal: quarantine drifted content, never destroy it	U	Modify the existing vault-drift-watch healing script to diff-and-quarantine (write the diff + queue intake) before any regenerate/overwrite call.	No existing check confirmed this session; a direct code change to an already-existing tool (vault drift watch, first applied 2026-08-13).
24e10ee8	The commit message and the diff must agree	E	pre-commit hook: for known claim-verbs in the message ('re-blessed the baseline', 'fixed X'), require the specific named artifact appear in git show --stat for this commit; refuse mismatch.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. ops/githooks/commit-claims-check.py checks claim-verbs in the message against the diff, called from ops/githooks/commit-msg.
cd84d22a	Decline the Claude Code feedback-survey transcript share	J	A human decision inside a product UI dialog; no CARR-side tool call to gate. (A Claude Code settings.json opt-out, if one exists, was not checked this session and could close this fully -- worth a follow-up.)	No tool call exists for 'consenting to a survey'; outside this system's own gate surface.
614c1209	The system infers contact from evidence it already holds, never asks Joe to self-report	J	Inference-quality judgment (did mail/calendar evidence actually establish contact).	Not in map.
58b44ccb	A session that can't reach the repo stops; a cloud session teleports	J	Rule's own text: 'a hook-based attempt at it was investigated on 2026-08-12 and found unworkable' -- gate attempted and abandoned; currently a stated behavioral convention only.	Rule text explicitly documents a failed enforcement attempt, distinguishing this from an untried ENFORCEABLE-UNBUILT case.
152ceb65	Show the shape, don't narrate it (tables/trees/diagrams over prose)	J	Communication-style judgment (does this content have a shape worth rendering).	Not in map.
e65efc68	Write the test before the thing, especially before a gate	J	Development-discipline norm; nothing currently blocks a session from writing implementation before its test.	Not in map.
1c21263c	Rework is a signal the session reads on itself (4x same shape = fix the instruction)	J	Self-monitoring judgment; no counter exists that tracks 'same shape of fix, Nth time' across a session.	Not in map.
1d50a3bb	When a Stop gate reopens a turn, send the delta, not the message again	E	Extend conduct-stop-gate.py: when it blocks a turn and the session re-sends, diff the new reply against the blocked one and require the resend contain only the delta plus a short pointer.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. the delta-resend half of hooks/conduct-stop-gate.py, fixtured by ops/delta-resend-selftest.py.
67580c28	CARR surfaces use the dark cinematic register, not plain light-grey	J	Design-taste judgment; a lint could flag banned light-grey/bare-white CSS tokens but 'calm' vs 'bland' is not mechanical.	Not in map.
a8f159ad	Structured surfaces ship with a real visual, not text alone	J	Design-completeness judgment (does this content have a shape, was a real diagram built vs a decorated table).	Not in map.
9293d609	Surfaces ship with real motion and interactivity, not a static page	J	Design-taste judgment on ambition/richness of motion.	Not in map.
eeb3d106	Workstation surfaces pulse; rate of motion is a state channel	J	Design-spec judgment overall ('feels alive'), though the specific pulse-duration bands (3-4s/2s/1s) could be partially lint-checked against CSS animation-duration values.	Not in map; only a narrow slice is mechanically checkable.
4039b9b5	Doctrine writing is model-agnostic; the Fable-only stamp is retired	E	base_version on every doctrine-section write plus the humanOnly verb boundary (teach/retire-rule/confirm-merge/new-deal/reassign-deal refuse non-human actors) already implement this -- neither cares which model holds the pen.	Rule's own text names the exact mechanism (versioned writes + humanOnly gate), consistent with the schema-level pattern already verified for other transactional_schema rules.
173119a8	Measure uncommitted work against origin/<branch>, never HEAD; read the sign	U	A sanctioned helper script (bin/whose-work.sh) that always fetches + diffs against origin/<branch> and prints the sign, made the ONLY documented way to check 'who is blocking whom'.	No existing check confirmed this session; the rule's own incident (a session wrongly named as blocker from a stale HEAD-based diff) shows the exact footgun a wrapper script would close.
4a53ff82	Worktree-per-session is the default; the canonical tree is integration-only	E	PreToolUse hook on Write/Edit and on 'git commit'/'git add' via Bash: deny the FIRST write to a tracked file in the canonical ~/carr-system checkout unless cwd is under .claude/worktrees/<name> or the task is a named integration-lane run (nightly chain, merge/landing, pull).	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. hooks/canonical-edit-gate.py denies the first Edit/Write to a tracked file in the shared canonical checkout, closing the moment that creates the problem.
596f7549	Verify a subsystem's blame before acting; a missing error field is evidence	J	Diagnostic judgment overall (was the subsystem claim actually checked against its data); the narrow 'required-arg missing' slice is closer to a schema check.	Not in map; mostly a debugging discipline, not a single gateable action.
ab814a26	A rule ships with its enforcement decided at creation; recitation isn't enforcement	U	Extend rule-shape-gate.py (already a PreToolUse gate on mcp__.*__teach): require an enforcement_class field (machine_enforceable | judgment) at teach time; refuse activate-rule on a machine_enforceable rule with no linked control in rule-enforcement-map.json.	Rule-shape-gate.py verified to exist and already gates teach calls, but only checks trigger/audit-signal shape -- NOT this enforcement-classification requirement, which is exactly why this audit was commissioned. Health check already flags 'rule coverage FAIL -- an active rule is unmapped'.
6330bec8	Crux discipline before generating options on any non-trivial problem	J	Requires judging when a problem is non-trivial and reframing it correctly.	Not in map.
27277539	Encourage Joe's technical stretch; explain terms fully, never steer simpler	J	Pedagogical/register judgment.	Not in map.
634a2d94	No permission-asking on mechanical steps inside an approved task	P	conduct-stop-gate.py Stop hook.	rule_controls: session_task_rail/conduct_stop.
c864b8cb	One question at a time via an interview box, never batched	P	conduct-stop-gate.py Stop hook.	rule_controls: session_task_rail/conduct_stop.
7e9739f2	Dialogue must be clear/concise/scannable (Zinsser + STE, two modes)	J	Prose-quality judgment across a huge range of content; same lint-pointed-at-chat sketch as 5be2f462 applies but is not built.	Not in map.
20d106f1	Joe's development kit: close-before-open, calibration ledger, domain-confidence check	J	Personal-coaching judgment (what counts as his oldest open decision, a significant prediction).	Not in map.
19304882	Joe's strength-training kit: compression reps, timing gym, orchestration ladder, override ledger	J	Same as above.	Not in map.
bc4145f6	Joe's curriculum rule: media recommendations tied to an observed pattern	J	Judgment on what pattern recurred and what fits it.	Not in map.
58cef3a1	Steelman Joe's labels: find the true thing before correcting the name	J	Interpretive judgment (charitable referent first).	Not in map.
95e76c1f	Joe's stated operating posture: confidence without cockiness	J	Register/tone judgment.	Not in map.
1021fa84	Read Joe brokerage-first, not system-first (started Oct 2025)	J	Interpretive/historical-framing judgment.	Not in map.
018ce972	Cheapest-window timing: present structural changes as window math	J	Framing judgment for a specific kind of proposal.	Not in map.
a225b744	End any action-request message with the literal words to say [SUPERSEDED]	P	conduct-stop-gate.py Stop hook checks for a human-action-request close.	rule_controls: session_task_rail/conduct_stop. NOTE: this rule's core mechanism (script the literal words) is explicitly retired by rule b3ea627f, yet both remain listed ACTIVE -- see unclear list.
d3774a28	Concept coherence is Joe's edge; surface divergence and let him rule	J	Judgment on when the conceptual model and file reality actually diverge.	Not in map.
dcf98880	He executes human-side steps reliably; give precise verification steps	P	completion-evidence-gate.py Stop hook (human-verification-instruction binding moment).	rule_controls: post_action_verification/completion_evidence.
6437ae15	Read every source Joe gives in full; mine for gold nuggets, never triage by preview	J	Requires judging what counts as 'read in full' and what is genuinely applicable.	Not in map.
5e896ed6	Incorporate learnings from a link into the system same session, don't just summarize	J	Judgment on where something merges and whether it was 'incorporated' enough.	Not in map.
98e74e7c	Lateral pass: hold a capability against the WHOLE system, not just its stated use	J	Creative cross-domain judgment; not mechanically testable.	Not in map.
466a545a	Grading posture: burden of proof is on 'we already do this', never on the source	J	Requires judging whether a property test was genuinely failed vs pattern-matched away.	Not in map.
113b3833	Retrieval-as-code: run run.sh retrieve before hunting for a file	P	session-brief.py rail states the policy at boot.	rule_controls: session_task_rail/session_boot.
faae6748	Never tell Joe to delete a file; stage into _to_delete yourself	E	guard-unattended.py -- PreToolUse DENY on destructive filesystem writes outside sanctioned scratch zones.	Hook file read directly; matches rule content (this is item 1 in the hook's own 'what it blocks' list).
30a189fb	Life AI check: a non-CARR task stops and asks before writing here	P	session-brief.py rail states the policy at boot.	rule_controls: session_task_rail/session_boot.
9b081605	Email handover: drafts only, auto-send whitelist is Joe's own address	E	No send tool exists in the MCP server; drafts are the only capability.	MCP server instructions verified directly: 'There is no send tool: drafts are produced, Joe sends.'
25fab860	Quote tweets belong to the daily X reply run, never the weekly batch	U	The weekly social-batch generator could filter/refuse any candidate row tagged content_type=quote-tweet at creation time.	No existing check confirmed this session.
57d13061	Grok Build is the first move for any x.com/X retrieval	P	session-brief.py rail states the policy at boot.	rule_controls: session_task_rail/session_boot.
bbffc139	Ledger triggers: 5 triggers, mandatory boundary sweeps, scoped to CARR work	P	ledger-sweep.py Stop hook checks the last human turn against the trigger patterns and reminds if nothing was logged.	rule_controls: session_task_rail/ledger_capture.
c66dc739	Mail capture reads local Apple Mail/HxStore, never a Gmail API integration	P	session-brief.py rail states the policy at boot; a PreToolUse deny on a Gmail-API-shaped mail-read call is a plausible upgrade but not built.	rule_controls: session_task_rail/session_boot.
0156e9fa	End with one next action, never a menu of options	P	conduct-stop-gate.py Stop hook (message-close binding moment).	rule_controls: session_task_rail/conduct_stop.
49533583	Read local Apple Calendar/Mail for meetings/attendees, never the Google connector	P	session-brief.py rail states the policy at boot; a PreToolUse deny on the Google Calendar connector for these lookups is a plausible upgrade but not built.	rule_controls: session_task_rail/session_boot.
557838a5	A quoted post inside a link Joe shares is part of the source, not a footnote	P	session-brief.py rail states the policy at boot.	rule_controls: session_task_rail/session_boot.
8117b414	Do the beneficial thing, then tell Joe -- stop asking for permission	J	The core meta-judgment call of the whole rule set: distinguishing 'beneficial and reversible' from the four real carve-outs.	Not in map; deliberately not mechanically decidable in general.
b3ea627f	Do not script Joe's lines; never end a message with a phrase to say back	J	Communication-style judgment. NOTE: this rule explicitly AMENDS/retires a225b744's literal-words mechanism, yet both remain listed active -- see unclear list.	Not in map.
11b2b73b	Design content Joe shares feeds ux-doctrine, every time, in the same session	J	Judgment on what applies and how it adapts to CARR's own tokens.	Not in map.
